OBJECTID,GEOID20,pct9yEd,pctHSGrad,pctWhtClr,medFamInc,incomeDisp,medHomVal,medGrsRnt,medMthMor,pctHomOwn,pctUnemp,pctPoverty,pct1Parent,pctNoVhcl,pctNoPhone,pctNoPlumb,pctCrowded
144,5.3005E+11,2.730000019,85.31999969,37.24000168,83142,3.218879938,314500,959,1457,81.41590118,10.82089996,9.666669846,31.67700005,0,0,0,4.719759941
145,5.3005E+11,17.47999954,77.93000031,27.02000046,72222,,189100,,1153,74.91290283,12.75819969,13.66909981,0,0,0,0,9.233449936
146,5.3005E+11,7.400000095,86.76999664,19.63999939,57188,3.024719954,255800,1003,1597,76.76190186,4.885059834,0,100,0,0,0,0
147,5.3005E+11,0,95.02999878,31.89999962,79928,,319400,,2202,80.67630005,0,0,49.27539825,0,0,0,4.347829819
148,5.3005E+11,25.84000015,71.58000183,21.30999947,52125,,,,1800,100,7.575759888,17.29319954,33.33330154,2.380949974,0,0,13.69050026
149,5.3005E+11,4.820000172,91.72000122,31.96999931,89917,2.021169901,271700,1380,1577,88.46640015,2.270659924,4.967949867,39.60400009,0.63371402,0,0.506971002,0.63371402
150,5.3005E+11,5.619999886,86.06999969,38.11000061,46333,3.830529928,220000,1072,1455,59.27420044,0,0,23.28770065,0,0,0,3.225810051
151,5.3005E+11,20.29000092,79.70999908,52.97000122,38229,4.911900043,209300,,1254,90.76309967,0,33.42110062,28.3185997,0,0,0,0
152,5.3005E+11,7.300000191,90.31999969,35.45999908,76551,3.778490067,322700,3500,2090,77.95619965,7.547170162,0,0,18.83209991,0,0,5.255469799
153,5.3005E+11,0.75999999,98.69000244,67.90000153,163438,4.867529869,516900,,2356,100,0,0,8.320730209,0,0,0,0
154,5.3005E+11,0,98.76000214,32.65999985,92843,,288000,,1645,100,8.788160324,0,4.121479988,0,0,0,3.398060083
155,5.3005E+11,9.210000038,88.48000336,41.25,94219,,327000,1591,1640,90.73840332,1.498749971,4.321909904,0,0,0,0,3.629539967
156,5.3005E+11,20.68000031,70.94000244,32.33000183,74671,5.505959988,215500,885,1271,67.20259857,6.993010044,0.896861017,17.3913002,0,5.144690037,0,4.823150158
157,5.3005E+11,12.25,79.23999786,9.630000114,53355,4.353859901,233900,680,1748,54.89989853,7.861370087,6.699150085,46.50279999,11.69649982,2.528980017,0,3.793469906
158,5.3005E+11,5.300000191,88.48000336,18.70000076,,4.828310013,185000,1283,1363,44.78530121,27.22220039,0,60.84560013,4.601230145,0,0,0
159,5.3005E+11,20.47999954,55.18000031,27.38999939,35536,3.743690014,,,1111,46.59500122,0,7.407410145,5.542729855,32.61650085,0,0,0
160,5.3005E+11,6.300000191,91.91000366,35.88000107,90042,,202500,853,1219,73.2193985,15.625,0,29.75970078,0,0,0,0
161,5.3005E+11,0,100,54.54999924,109375,,264900,,1510,100,6.060609818,0,100,0,0,0,0
162,5.3005E+11,21.68000031,62.00999832,22.89999962,,,224100,869,,47.8689003,11.0777998,0,22.28409958,0,0,0,14.42619991
163,5.3005E+11,9.050000191,85.79000092,16.94000053,61990,2.49496007,199400,821,,69.4382019,0,0,5.474450111,0,0,0,0
164,5.3005E+11,7.110000134,90.87999725,41.20000076,100700,,346700,,2602,90.5714035,4.08163023,0.303950995,17.01490021,0,0.285714,0,0
165,5.3005E+11,33.70999908,66.29000092,33.61000061,64621,,258000,,,44.81480026,0.823045015,0,0,4.074069977,0,0,0
166,5.3005E+11,7.829999924,80.48999786,35.61000061,52011,3.352410078,277300,,1623,94.39779663,22.12389946,7.220220089,4.778160095,0,0,7.563020229,5.882349968
167,5.3005E+11,26.03000069,73.97000122,22.45999908,,,281300,793,,51.96300125,6.286550045,0,43.59999847,9.930720329,0,9.930720329,3.695149899
168,5.3005E+11,6.829999924,78.20999908,22.45999908,61250,4.24849987,229400,970,1608,81.92089844,10.83090019,2.051280022,24.68239975,6.779660225,4.331449986,0,6.779660225
169,5.3005E+11,10.31999969,83.58000183,15.53999996,29416,3.426520109,150500,,1064,81.42079926,3.783780098,1.049870014,35.5318985,9.653920174,10.38249969,0,2.550090075
170,5.3005E+11,19.10000038,72.56999969,5.449999809,48320,2.571399927,176200,1047,1077,70.57060242,8.865249634,0,85.08769989,0,0,0,15.31529999
171,5.3005E+11,6.71999979,88.13999939,33.75999832,78818,2.557480097,235800,1013,1423,83.40139771,0,8.016030312,16.11720085,0,0,0,1.360540032
172,5.3008E+11,2.579999924,92.73999786,37.04000092,71944,3.415590048,246000,1167,1328,76.74420166,5.026000023,4.605259895,40.99380112,1.860470057,0.465115994,0,4.186049938
173,5.3008E+11,3.839999914,81.45999908,32.38999939,75703,3.784189939,324100,767,1694,71.72239685,0,0.819671988,42.1568985,0,1.54242003,0,4.627250195
174,5.3008E+11,0,95.52999878,52.59999847,42750,1.370419979,462200,1072,2113,61.67079926,0,0,26.92309952,25.55279922,0,0,3.931200027
175,5.3008E+11,0,100,34.75,86735,,768800,,2579,67.51820374,0,0,0,0,0,0,0
176,5.3008E+11,0.620000005,95.65000153,50.5,77500,4.135169983,413900,1349,1906,67.44599915,0.73891598,0,23.10029984,5.575540066,2.697839975,0,0
177,5.3008E+11,0,99.06999969,43.70000076,75929,4.722949982,481800,765,1715,65.12819672,0.515464008,0.78125,44.44440079,14.87180042,0,0,3.247859955
